MNO,Code,Latitude,Longitude
Telefonica,2803505,40.434294,-3.677747
Telefonica,2100080,37.304389,-6.609683
Orange,CANR5342A,28.539308,-13.873728
Telefonica,3700197,40.961061,-5.660778
Telefonica,4300694,40.719917,0.730028
Telefonica,2803530,40.350978,-3.825769
Telefonica,1900590,40.709931,-3.128792
Telefonica,1500241,43.142222,-9.125889
Vodafone,75348,41.479194,2.318889
Telefonica,0806662,41.535333,2.129222
Telefonica,1000547,40.239556,-6.228583
Telefonica,0800346,41.269628,1.975689
Orange,CATR9571A,41.867367,1.111756
Telefonica,4500968,40.224081,-4.19315
Telefonica,2808819,40.500486,-3.663017
Telefonica,1600044,39.964033,-2.925425
Telefonica,0800351,41.382297,2.112922
Telefonica,2000049,43.251875,-2.391994
Telefonica,4100190,36.976747,-5.217222
Telefonica,2903083,37.019125,-4.557975
Telefonica,3100479,42.803314,-1.017361
Telefonica,3800731,28.647139,-17.764306
Telefonica,3200321,42.400247,-6.975458
Telefonica,2800690,40.369039,-3.938953
Telefonica,3301525,43.476175,-6.469311
Telefonica,0300480,38.794861,-0.500914
Vodafone,28741,37.339189,-2.040561
Vodafone,076695,36.688967,-4.483742
Telefonica,0800352,41.400047,2.121303
Orange,CANR5773A,28.372967,-16.836097
Vodafone,192840,38.186164,-4.518667
Vodafone,205578,42.201333,0.873283
Telefonica,0805125,41.386972,2.174192
Telefonica,0806792,41.414047,2.188969
Telefonica,3600365,42.239178,-8.692356
Telefonica,2802255,40.423378,-3.669039
Telefonica,2802298,40.408333,-3.796236
Telefonica,2802741,40.146972,-3.205861
Vodafone,49555,38.84965,-0.380928
Telefonica,4700056,41.557942,-4.870789
Telefonica,1200667,39.964894,-0.265389
Telefonica,3200031,42.432619,-8.080719
Vodafone,82608,41.315931,-4.725783
Telefonica,2803310,40.415997,-3.786111
Orange,GALR4020K,42.244194,-8.704053
Telefonica,3700162,41.120194,-6.663694
Telefonica,3000510,37.474158,-1.709364
Orange,CATR6144A1,41.3574,2.069978
Telefonica,1200954,40.067542,-0.274858
Telefonica,2300214,37.842075,-3.463819
Telefonica,3000282,38.102714,-1.861825
Telefonica,1800041,36.711325,-3.410797
Telefonica,1800511,37.124053,-3.712822
Vodafone,00880,40.161881,0.162967
Telefonica,2000269,43.178781,-2.233944
Telefonica,1700151,41.925467,3.210044
Telefonica,3800371,28.48655,-16.314819
Telefonica,3503093,28.052519,-14.327575
Telefonica,3600725,42.669694,-8.250778
Telefonica,2400612,42.156056,-5.927917
Telefonica,1400385,38.411436,-5.046347
Telefonica,1000146,39.316631,-7.218611
Telefonica,1800584,36.957619,-3.134872
Telefonica,4300356,41.118639,1.244583
Orange,BALR0058F,39.557428,2.611919
Telefonica,3000278,37.699439,-0.977392
